target,window,seed,best_epoch_250Hz,best_val_loss_250Hz,test_loss_at_best_250Hz,test_top1_at_best_250Hz,test_top5_at_best_250Hz,gap_at_best_250Hz,final_gap_250Hz,input_dimension_250Hz,n_parameters_250Hz,best_epoch_1000Hz,best_val_loss_1000Hz,test_loss_at_best_1000Hz,test_top1_at_best_1000Hz,test_top5_at_best_1000Hz,gap_at_best_1000Hz,final_gap_1000Hz,input_dimension_1000Hz,n_parameters_1000Hz,delta_test_loss_1000_minus_250,delta_test_top1_1000_minus_250,delta_test_top5_1000_minus_250,delta_gap_1000_minus_250,parameter_ratio_1000_over_250
ViT-B-16__block12,300_400,1,28,7.112978935241699,4.423496246337891,0.03500000014901161,0.2449999898672104,1.6226673126220703,1.6236438751220703,1575,1070592,7,7.126601219177246,4.531316757202148,0.054999999701976776,0.17000000178813934,2.0054140090942383,2.91025447845459,6300,3489792,0.10782051086425781,0.019999999552965164,-0.07499998807907104,0.38274669647216797,3.259684361549498
ViT-B-16__block12,500_600,0,3,7.518368721008301,5.293549537658691,0.009999999776482582,0.044999998062849045,0.4652576446533203,1.2124738693237305,1575,1070592,1,7.496031761169434,5.314623832702637,0.0,0.029999999329447746,0.45206737518310547,2.2775187492370605,6300,3489792,0.021074295043945312,-0.009999999776482582,-0.014999998733401299,-0.013190269470214844,3.259684361549498
ViT-B-16__block12,500_600,1,3,7.526482582092285,5.34645938873291,0.004999999888241291,0.02499999850988388,0.49474477767944336,1.2260570526123047,1575,1070592,1,7.504184246063232,5.286849021911621,0.014999999664723873,0.02499999850988388,0.48480653762817383,2.306438446044922,6300,3489792,-0.05961036682128906,0.009999999776482582,0.0,-0.009938240051269531,3.259684361549498
ViT-L-14__block4,100_200,0,30,6.396851539611816,3.4197816848754883,0.1899999976158142,0.4899999797344208,1.050363540649414,1.050363540649414,1575,1070592,16,6.425533771514893,3.3995513916015625,0.1850000023841858,0.4749999940395355,1.772881031036377,1.9500994682312012,6300,3489792,-0.02023029327392578,-0.004999995231628418,-0.014999985694885254,0.7225174903869629,3.259684361549498
ViT-L-14__block4,100_200,1,30,6.430793762207031,3.423640489578247,0.1899999976158142,0.4699999988079071,1.0876789093017578,1.0876789093017578,1575,1070592,12,6.46137809753418,3.4549288749694824,0.1850000023841858,0.4749999940395355,1.6630868911743164,1.981114387512207,6300,3489792,0.03128838539123535,-0.004999995231628418,0.004999995231628418,0.5754079818725586,3.259684361549498
ViT-L-14__block4,300_400,0,16,7.176062107086182,4.458718299865723,0.044999998062849045,0.20499999821186066,0.8457341194152832,0.9613351821899414,1575,1070592,5,7.180543899536133,4.579312801361084,0.06499999761581421,0.20999999344348907,0.863558292388916,1.563023567199707,6300,3489792,0.12059450149536133,0.019999999552965164,0.004999995231628418,0.017824172973632812,3.259684361549498
ViT-L-14__block4,300_400,1,14,7.168097496032715,4.502132415771484,0.054999999701976776,0.20999999344348907,0.7944183349609375,0.9531326293945312,1575,1070592,4,7.18472957611084,4.660211563110352,0.029999999329447746,0.1550000011920929,0.7525758743286133,1.5739641189575195,6300,3489792,0.1580791473388672,-0.02500000037252903,-0.05499999225139618,-0.04184246063232422,3.259684361549498
ViT-L-14__block4,500_600,0,3,7.446382522583008,5.262359142303467,0.009999999776482582,0.04999999701976776,0.21343708038330078,0.6394429206848145,1575,1070592,1,7.451698303222656,5.264283180236816,0.014999999664723873,0.07000000029802322,0.2223186492919922,1.1930737495422363,6300,3489792,0.0019240379333496094,0.004999999888241291,0.020000003278255463,0.008881568908691406,3.259684361549498
ViT-L-14__block4,500_600,1,3,7.444147109985352,5.261112213134766,0.009999999776482582,0.02499999850988388,0.20918798446655273,0.6440696716308594,1575,1070592,1,7.440740585327148,5.279784202575684,0.014999999664723873,0.03500000014901161,0.21211719512939453,1.2120590209960938,6300,3489792,0.01867198944091797,0.004999999888241291,0.010000001639127731,0.002929210662841797,3.259684361549498
ViT-L-14__block24,100_200,0,26,6.899433135986328,4.3223876953125,0.07000000029802322,0.2449999898672104,1.7306995391845703,1.7368831634521484,1575,1070592,6,6.8899245262146,4.459349632263184,0.04999999701976776,0.20499999821186066,1.9810843467712402,3.013965129852295,6300,3489792,0.1369619369506836,-0.020000003278255463,-0.03999999165534973,0.2503848075866699,3.259684361549498
ViT-L-14__block24,100_200,1,26,6.915844917297363,4.326409339904785,0.05999999865889549,0.23999999463558197,1.7350101470947266,1.7409186363220215,1575,1070592,6,6.920048713684082,4.467859745025635,0.07000000029802322,0.1899999976158142,1.9935379028320312,3.0022523403167725,6300,3489792,0.1414504051208496,0.010000001639127731,-0.04999999701976776,0.2585277557373047,3.259684361549498
ViT-L-14__block24,300_400,0,30,7.16738224029541,4.495742321014404,0.07999999821186066,0.19499999284744263,1.712714672088623,1.712714672088623,1575,1070592,8,7.165858268737793,4.627630233764648,0.029999999329447746,0.14000000059604645,2.2460012435913086,3.0615692138671875,6300,3489792,0.13188791275024414,-0.04999999888241291,-0.05499999225139618,0.5332865715026855,3.259684361549498
ViT-L-14__block24,300_400,1,28,7.148506164550781,4.4825897216796875,0.05999999865889549,0.17999999225139618,1.6539268493652344,1.654921531677246,1575,1070592,7,7.140332221984863,4.591562271118164,0.03999999910593033,0.16499999165534973,2.0375351905822754,2.9680628776550293,6300,3489792,0.10897254943847656,-0.019999999552965164,-0.015000000596046448,0.383608341217041,3.259684361549498
ViT-L-14__block24,500_600,0,3,7.533908843994141,5.313348770141602,0.004999999888241291,0.05999999865889549,0.501131534576416,1.2587504386901855,1575,1070592,1,7.505825996398926,5.301823616027832,0.014999999664723873,0.019999999552965164,0.4741520881652832,2.3199234008789062,6300,3489792,-0.011525154113769531,0.009999999776482582,-0.03999999910593033,-0.026979446411132812,3.259684361549498
ViT-L-14__block24,500_600,1,7,7.519195556640625,5.29934549331665,0.009999999776482582,0.044999998062849045,0.9359025955200195,1.4282093048095703,1575,1070592,1,7.525540351867676,5.290009021759033,0.0,0.02499999850988388,0.5089187622070312,2.356776714324951,6300,3489792,-0.009336471557617188,-0.009999999776482582,-0.019999999552965164,-0.4269838333129883,3.259684361549498
