target,window,test_loss,test_loss_std,top1,top5,n_seeds
ViT-B-16__block12__fov,500_600,5.24,0.0192,0.014,0.044,5
ViT-B-16__block12__fov,600_700,5.2688,0.015,0.008,0.045,5
ViT-B-16__block12__fov,700_800,5.322,0.0051,0.007,0.029,5
ViT-B-16__block12__fov,800_900,5.3331,0.0141,0.008,0.034,5
ViT-B-16__block12__fov,900_1000,5.3464,0.011,0.008,0.034,5
ViT-B-16__block2,0_100,4.0531,0.0275,0.086,0.268,5
ViT-B-16__block2,100_200,3.214,0.0226,0.175,0.483,5
ViT-B-16__block2,200_300,3.7392,0.0439,0.161,0.356,5
ViT-B-16__block2,300_400,4.5673,0.0261,0.057,0.19,5
ViT-B-16__block2,400_500,5.0947,0.0513,0.022,0.08,5
ViT-B-16__block2,500_600,5.2575,0.0034,0.007,0.037,5
ViT-B-16__block2,600_700,5.2868,0.0065,0.007,0.03,5
ViT-B-16__block2,700_800,5.3132,0.0077,0.005,0.02,5
ViT-B-16__block2,800_900,5.316,0.0079,0.006,0.021,5
ViT-B-16__block2,900_1000,5.3146,0.0061,0.007,0.026,5
ViT-B-16__block2__fov,0_100,3.9635,0.0224,0.085,0.274,5
ViT-B-16__block2__fov,100_200,3.1088,0.0313,0.186,0.511,5
ViT-B-16__block2__fov,200_300,3.6572,0.0503,0.168,0.385,5
ViT-B-16__block2__fov,300_400,4.5362,0.02,0.054,0.188,5
ViT-B-16__block2__fov,400_500,5.0799,0.0614,0.016,0.074,5
ViT-B-16__block2__fov,500_600,5.2525,0.0056,0.006,0.031,5
ViT-B-16__block2__fov,600_700,5.2868,0.0079,0.005,0.029,5
ViT-B-16__block2__fov,700_800,5.311,0.01,0.005,0.021,5
ViT-B-16__block2__fov,800_900,5.3167,0.0063,0.004,0.025,5
ViT-B-16__block2__fov,900_1000,5.3138,0.0036,0.005,0.027,5
ViT-B-16__block4,0_100,3.9807,0.0453,0.081,0.274,5
ViT-B-16__block4,100_200,2.8914,0.0275,0.237,0.562,5
ViT-B-16__block4,200_300,3.4472,0.0365,0.167,0.393,5
ViT-B-16__block4,300_400,4.2491,0.0302,0.079,0.266,5
ViT-B-16__block4,400_500,4.9787,0.0482,0.027,0.095,5
ViT-B-16__block4,500_600,5.2354,0.0125,0.01,0.063,5
ViT-B-16__block4,600_700,5.2671,0.0079,0.01,0.046,5
ViT-B-16__block4,700_800,5.3006,0.0082,0.011,0.04,5
ViT-B-16__block4,800_900,5.3118,0.0093,0.005,0.026,5
ViT-B-16__block4,900_1000,5.3175,0.0061,0.004,0.031,5
ViT-B-16__block4__fov,0_100,3.9171,0.0384,0.088,0.295,5
ViT-B-16__block4__fov,100_200,2.8018,0.0353,0.247,0.592,5
ViT-B-16__block4__fov,200_300,3.3522,0.0183,0.161,0.424,5
ViT-B-16__block4__fov,300_400,4.2134,0.0299,0.089,0.278,5
ViT-B-16__block4__fov,400_500,4.9754,0.0444,0.021,0.103,5
ViT-B-16__block4__fov,500_600,5.2268,0.0064,0.013,0.055,5
ViT-B-16__block4__fov,600_700,5.265,0.015,0.007,0.045,5
ViT-B-16__block4__fov,700_800,5.3016,0.0113,0.006,0.03,5
ViT-B-16__block4__fov,800_900,5.3064,0.0068,0.007,0.038,5
ViT-B-16__block4__fov,900_1000,5.3169,0.006,0.003,0.03,5
ViT-B-16__block6,0_100,4.1774,0.0233,0.075,0.265,5
ViT-B-16__block6,100_200,3.0628,0.0252,0.234,0.543,5
ViT-B-16__block6,200_300,3.4427,0.0122,0.142,0.431,5
ViT-B-16__block6,300_400,4.2306,0.0244,0.062,0.24,5
ViT-B-16__block6,400_500,4.9691,0.0279,0.013,0.093,5
ViT-B-16__block6,500_600,5.2394,0.0184,0.011,0.035,5
ViT-B-16__block6,600_700,5.2879,0.015,0.006,0.038,5
ViT-B-16__block6,700_800,5.3223,0.0105,0.009,0.035,5
ViT-B-16__block6,800_900,5.3248,0.0119,0.007,0.02,5
ViT-B-16__block6,900_1000,5.3229,0.0151,0.006,0.03,5
ViT-B-16__block6__fov,0_100,4.1328,0.0224,0.088,0.26,5
ViT-B-16__block6__fov,100_200,3.0059,0.0223,0.244,0.567,5
ViT-B-16__block6__fov,200_300,3.3733,0.0208,0.135,0.46,5
ViT-B-16__block6__fov,300_400,4.2091,0.0304,0.08,0.261,5
ViT-B-16__block6__fov,400_500,4.9333,0.0281,0.019,0.084,5
ViT-B-16__block6__fov,500_600,5.2194,0.017,0.011,0.054,5
ViT-B-16__block6__fov,600_700,5.2752,0.0063,0.006,0.033,5
ViT-B-16__block6__fov,700_800,5.303,0.0047,0.009,0.031,5
ViT-B-16__block6__fov,800_900,5.3234,0.008,0.005,0.024,5
ViT-B-16__block6__fov,900_1000,5.3228,0.0075,0.005,0.022,5
ViT-B-16__block8,0_100,4.468,0.0214,0.047,0.185,5
ViT-B-16__block8,100_200,3.4855,0.0257,0.153,0.451,5
ViT-B-16__block8,200_300,3.68,0.0316,0.144,0.387,5
ViT-B-16__block8,300_400,4.3278,0.0301,0.059,0.239,5
ViT-B-16__block8,400_500,4.9552,0.0418,0.025,0.102,5
ViT-B-16__block8,500_600,5.2481,0.0153,0.006,0.037,5
ViT-B-16__block8,600_700,5.2845,0.016,0.011,0.028,5
ViT-B-16__block8,700_800,5.3186,0.0118,0.004,0.028,5
ViT-B-16__block8,800_900,5.3291,0.0106,0.007,0.024,5
ViT-B-16__block8,900_1000,5.3307,0.0146,0.005,0.031,5
ViT-B-16__block8__fov,0_100,4.4192,0.0299,0.063,0.201,5
ViT-B-16__block8__fov,100_200,3.3923,0.0104,0.176,0.47,5
ViT-B-16__block8__fov,200_300,3.5847,0.0189,0.152,0.423,5
ViT-B-16__block8__fov,300_400,4.2493,0.0277,0.064,0.257,5
ViT-B-16__block8__fov,400_500,4.8793,0.0231,0.02,0.103,5
ViT-B-16__block8__fov,500_600,5.2377,0.0229,0.009,0.052,5
ViT-B-16__block8__fov,600_700,5.2776,0.0142,0.008,0.037,5
ViT-B-16__block8__fov,700_800,5.3211,0.0149,0.007,0.023,5
ViT-B-16__block8__fov,800_900,5.3302,0.0148,0.007,0.027,5
ViT-B-16__block8__fov,900_1000,5.328,0.012,0.005,0.028,5
ViT-L-14__block12,0_100,4.4336,0.0316,0.058,0.184,5
ViT-L-14__block12,100_200,3.4172,0.0222,0.207,0.45,5
ViT-L-14__block12,200_300,3.7518,0.0236,0.119,0.323,5
ViT-L-14__block12,300_400,4.3991,0.0496,0.072,0.231,5
ViT-L-14__block12,400_500,5.0231,0.0214,0.025,0.099,5
ViT-L-14__block12,500_600,5.2708,0.0145,0.004,0.028,5
ViT-L-14__block12,600_700,5.3064,0.0156,0.006,0.026,5
ViT-L-14__block12,700_800,5.3345,0.014,0.005,0.025,5
ViT-L-14__block12,800_900,5.3417,0.017,0.005,0.024,5
ViT-L-14__block12,900_1000,5.3356,0.0133,0.005,0.025,5
ViT-L-14__block12__fov,0_100,4.3088,0.0169,0.073,0.217,5
ViT-L-14__block12__fov,100_200,3.3247,0.0248,0.235,0.474,5
ViT-L-14__block12__fov,200_300,3.6483,0.0245,0.119,0.399,5
ViT-L-14__block12__fov,300_400,4.3641,0.0207,0.083,0.251,5
ViT-L-14__block12__fov,400_500,4.977,0.0291,0.025,0.111,5
ViT-L-14__block12__fov,500_600,5.2452,0.0239,0.01,0.043,5
ViT-L-14__block12__fov,600_700,5.2904,0.0178,0.008,0.047,5
ViT-L-14__block12__fov,700_800,5.3264,0.0182,0.005,0.027,5
ViT-L-14__block12__fov,800_900,5.3332,0.0045,0.008,0.029,5
ViT-L-14__block12__fov,900_1000,5.3312,0.0079,0.008,0.033,5
ViT-L-14__block16,0_100,4.5105,0.0286,0.056,0.201,5
ViT-L-14__block16,100_200,3.4725,0.0382,0.182,0.457,5
ViT-L-14__block16,200_300,3.709,0.0363,0.133,0.385,5
ViT-L-14__block16,300_400,4.2999,0.0214,0.084,0.257,5
ViT-L-14__block16,400_500,4.9313,0.0408,0.017,0.101,5
