target,window,seed,best_epoch,val_loss,test_loss,top1,top5
RN50__layer1,600_700,2,1,7.4077,5.2918,0.005,0.025
RN50__layer1,600_700,3,1,7.4157,5.292,0.005,0.02
RN50__layer1,600_700,4,1,7.4132,5.2895,0.005,0.035
RN50__layer1,700_800,0,1,7.4083,5.2975,0.005,0.03
RN50__layer1,700_800,1,1,7.4196,5.2911,0.01,0.03
RN50__layer1,700_800,2,1,7.4138,5.2948,0.005,0.025
RN50__layer1,700_800,3,1,7.4261,5.2948,0.005,0.02
RN50__layer1,700_800,4,1,7.4192,5.2965,0.005,0.03
RN50__layer1__fov,baseline,0,1,7.4174,5.3015,0.005,0.03
RN50__layer1__fov,baseline,1,1,7.426,5.3024,0.005,0.025
RN50__layer1__fov,baseline,2,1,7.4187,5.3004,0.005,0.025
RN50__layer1__fov,baseline,3,1,7.4195,5.302,0.005,0.025
RN50__layer1__fov,baseline,4,1,7.42,5.3007,0.005,0.02
RN50__layer1__fov,0_100,0,3,6.9239,4.2205,0.065,0.22
RN50__layer1__fov,0_100,1,3,6.9063,4.1834,0.05,0.21
RN50__layer1__fov,0_100,2,4,6.9117,4.1715,0.075,0.215
RN50__layer1__fov,0_100,3,3,6.9256,4.1686,0.065,0.205
RN50__layer1__fov,0_100,4,4,6.9434,4.1536,0.06,0.225
RN50__layer1__fov,100_200,0,5,6.3281,3.4154,0.17,0.485
RN50__layer1__fov,100_200,1,4,6.4084,3.5116,0.155,0.43
RN50__layer1__fov,100_200,2,4,6.3697,3.4966,0.155,0.45
RN50__layer1__fov,100_200,3,3,6.4049,3.5793,0.13,0.43
RN50__layer1__fov,100_200,4,4,6.3549,3.4832,0.125,0.445
RN50__layer1__fov,200_300,0,5,6.6196,3.5836,0.145,0.42
RN50__layer1__fov,200_300,1,4,6.6217,3.6516,0.165,0.445
RN50__layer1__fov,200_300,2,4,6.6446,3.6079,0.13,0.435
RN50__layer1__fov,200_300,3,5,6.5787,3.6078,0.17,0.415
RN50__layer1__fov,200_300,4,4,6.5982,3.629,0.17,0.43
RN50__layer1__fov,300_400,0,3,7.166,4.39,0.045,0.22
RN50__layer1__fov,300_400,1,2,7.1808,4.4885,0.09,0.2
RN50__layer1__fov,300_400,2,2,7.1334,4.5177,0.07,0.195
RN50__layer1__fov,300_400,3,3,7.1566,4.4055,0.045,0.23
RN50__layer1__fov,300_400,4,2,7.1777,4.5024,0.065,0.2
RN50__layer1__fov,400_500,0,1,7.3561,5.2238,0.0,0.025
RN50__layer1__fov,400_500,1,1,7.3591,5.216,0.005,0.05
RN50__layer1__fov,400_500,2,2,7.3493,5.0874,0.02,0.075
RN50__layer1__fov,400_500,3,1,7.3744,5.2121,0.02,0.045
RN50__layer1__fov,400_500,4,2,7.3538,5.0833,0.015,0.09
RN50__layer1__fov,500_600,0,1,7.404,5.2851,0.01,0.035
RN50__layer1__fov,500_600,1,1,7.4047,5.285,0.005,0.04
RN50__layer1__fov,500_600,2,1,7.4041,5.2837,0.005,0.045
RN50__layer1__fov,500_600,3,1,7.4139,5.2833,0.015,0.03
RN50__layer1__fov,500_600,4,1,7.4103,5.2861,0.005,0.035
RN50__layer1__fov,600_700,0,1,7.4098,5.2935,0.005,0.03
RN50__layer1__fov,600_700,1,1,7.4114,5.2897,0.005,0.015
RN50__layer1__fov,600_700,2,1,7.4075,5.2923,0.005,0.035
RN50__layer1__fov,600_700,3,1,7.4177,5.2889,0.01,0.03
RN50__layer1__fov,600_700,4,1,7.4158,5.2905,0.005,0.015
RN50__layer1__fov,700_800,0,1,7.4117,5.2968,0.005,0.02
RN50__layer1__fov,700_800,1,1,7.4172,5.2918,0.0,0.04
RN50__layer1__fov,700_800,2,1,7.4161,5.2948,0.005,0.04
RN50__layer1__fov,700_800,3,1,7.4263,5.2932,0.005,0.03
RN50__layer1__fov,700_800,4,1,7.4207,5.2962,0.005,0.025
RN50__layer2,baseline,0,1,7.4175,5.3053,0.0,0.025
RN50__layer2,baseline,1,1,7.4264,5.3031,0.01,0.025
RN50__layer2,baseline,2,1,7.4218,5.3014,0.005,0.02
RN50__layer2,baseline,3,1,7.4235,5.3028,0.005,0.025
RN50__layer2,baseline,4,1,7.4163,5.3038,0.0,0.035
RN50__layer2,0_100,0,5,6.8851,4.0786,0.05,0.23
RN50__layer2,0_100,1,4,6.8861,4.0932,0.045,0.22
RN50__layer2,0_100,2,4,6.8837,4.1022,0.03,0.265
RN50__layer2,0_100,3,4,6.8983,4.096,0.07,0.245
RN50__layer2,0_100,4,4,6.9124,4.0669,0.065,0.27
RN50__layer2,100_200,0,5,6.1979,3.2358,0.2,0.56
RN50__layer2,100_200,1,5,6.2694,3.2718,0.235,0.55
RN50__layer2,100_200,2,5,6.2426,3.2577,0.21,0.555
RN50__layer2,100_200,3,5,6.2687,3.258,0.185,0.555
RN50__layer2,100_200,4,4,6.2156,3.3133,0.2,0.54
RN50__layer2,200_300,0,4,6.4868,3.5096,0.195,0.455
RN50__layer2,200_300,1,4,6.5039,3.4996,0.18,0.475
RN50__layer2,200_300,2,5,6.4743,3.4401,0.215,0.475
RN50__layer2,200_300,3,5,6.466,3.4499,0.19,0.44
RN50__layer2,200_300,4,4,6.4711,3.4898,0.21,0.465
RN50__layer2,300_400,0,3,7.0698,4.2425,0.1,0.275
RN50__layer2,300_400,1,3,7.0965,4.1713,0.1,0.31
RN50__layer2,300_400,2,3,7.0642,4.2532,0.07,0.245
RN50__layer2,300_400,3,3,7.0956,4.2407,0.075,0.275
RN50__layer2,300_400,4,3,7.1076,4.2089,0.11,0.27
RN50__layer2,400_500,0,1,7.3359,5.194,0.04,0.065
RN50__layer2,400_500,1,1,7.342,5.202,0.01,0.055
RN50__layer2,400_500,2,2,7.3434,4.9906,0.03,0.1
RN50__layer2,400_500,3,1,7.3616,5.2005,0.03,0.065
RN50__layer2,400_500,4,1,7.3343,5.2026,0.025,0.07
RN50__layer2,500_600,0,1,7.3975,5.2776,0.0,0.04
RN50__layer2,500_600,1,1,7.4014,5.2809,0.01,0.045
RN50__layer2,500_600,2,1,7.3981,5.2787,0.0,0.035
RN50__layer2,500_600,3,1,7.4074,5.2817,0.01,0.03
RN50__layer2,500_600,4,1,7.4092,5.2803,0.01,0.04
RN50__layer2,600_700,0,1,7.4059,5.291,0.01,0.025
RN50__layer2,600_700,1,1,7.4127,5.2905,0.0,0.03
RN50__layer2,600_700,2,1,7.4009,5.2912,0.005,0.03
RN50__layer2,600_700,3,1,7.4152,5.2902,0.005,0.015
RN50__layer2,600_700,4,1,7.4159,5.292,0.005,0.03
RN50__layer2,700_800,0,1,7.4135,5.2935,0.02,0.03
RN50__layer2,700_800,1,1,7.4191,5.2938,0.01,0.02
RN50__layer2,700_800,2,1,7.4122,5.292,0.0,0.035
RN50__layer2,700_800,3,1,7.4265,5.2926,0.015,0.03
RN50__layer2,700_800,4,1,7.4242,5.293,0.01,0.03
RN50__layer2__fov,baseline,0,1,7.4159,5.3043,0.005,0.02
RN50__layer2__fov,baseline,1,1,7.4262,5.3033,0.005,0.025
RN50__layer2__fov,baseline,2,1,7.4236,5.301,0.005,0.03
RN50__layer2__fov,baseline,3,1,7.4253,5.3037,0.01,0.02
RN50__layer2__fov,baseline,4,1,7.4158,5.3027,0.005,0.025
RN50__layer2__fov,0_100,0,5,6.8794,4.0228,0.07,0.265
RN50__layer2__fov,0_100,1,4,6.8619,4.0636,0.05,0.25
RN50__layer2__fov,0_100,2,4,6.8733,4.0482,0.07,0.25
RN50__layer2__fov,0_100,3,4,6.875,4.0495,0.06,0.245
RN50__layer2__fov,0_100,4,4,6.8945,4.031,0.055,0.265
RN50__layer2__fov,100_200,0,5,6.1679,3.1904,0.215,0.585
RN50__layer2__fov,100_200,1,5,6.2443,3.2045,0.235,0.555
RN50__layer2__fov,100_200,2,5,6.2148,3.1787,0.23,0.55
RN50__layer2__fov,100_200,3,5,6.2308,3.208,0.19,0.56
RN50__layer2__fov,100_200,4,4,6.189,3.2535,0.23,0.54
RN50__layer2__fov,200_300,0,5,6.4441,3.3852,0.2,0.48
RN50__layer2__fov,200_300,1,4,6.4859,3.4615,0.195,0.47
RN50__layer2__fov,200_300,2,5,6.4493,3.3684,0.22,0.49
RN50__layer2__fov,200_300,3,5,6.4427,3.4201,0.19,0.44
RN50__layer2__fov,200_300,4,4,6.4522,3.4305,0.2,0.49
RN50__layer2__fov,300_400,0,3,7.0608,4.2224,0.11,0.3
RN50__layer2__fov,300_400,1,3,7.0954,4.1432,0.105,0.335
RN50__layer2__fov,300_400,2,3,7.0614,4.1973,0.065,0.3
RN50__layer2__fov,300_400,3,3,7.0906,4.218,0.08,0.28
RN50__layer2__fov,300_400,4,3,7.1046,4.1721,0.1,0.31
RN50__layer2__fov,400_500,0,2,7.3348,4.9626,0.035,0.09
RN50__layer2__fov,400_500,1,1,7.3418,5.1909,0.01,0.075
RN50__layer2__fov,400_500,2,2,7.3429,4.9645,0.04,0.105
RN50__layer2__fov,400_500,3,1,7.3642,5.1949,0.005,0.065
RN50__layer2__fov,400_500,4,1,7.3342,5.1973,0.015,0.06
RN50__layer2__fov,500_600,0,1,7.3974,5.2779,0.0,0.02
RN50__layer2__fov,500_600,1,1,7.399,5.279,0.01,0.025
RN50__layer2__fov,500_600,2,1,7.4031,5.2776,0.02,0.05
RN50__layer2__fov,500_600,3,1,7.4067,5.2786,0.005,0.045
RN50__layer2__fov,500_600,4,1,7.4129,5.2773,0.0,0.04
RN50__layer2__fov,600_700,0,1,7.4052,5.2899,0.005,0.025
RN50__layer2__fov,600_700,1,1,7.4133,5.2891,0.005,0.03
RN50__layer2__fov,600_700,2,1,7.4035,5.2888,0.01,0.02
RN50__layer2__fov,600_700,3,1,7.4154,5.288,0.005,0.015
RN50__layer2__fov,600_700,4,1,7.4175,5.2902,0.01,0.03
RN50__layer2__fov,700_800,0,1,7.4122,5.2951,0.0,0.025
RN50__layer2__fov,700_800,1,1,7.4158,5.2934,0.005,0.035
RN50__layer2__fov,700_800,2,1,7.4109,5.2887,0.015,0.03
RN50__layer2__fov,700_800,3,1,7.4254,5.29,0.0,0.025
RN50__layer2__fov,700_800,4,1,7.4258,5.2908,0.01,0.03
RN50__layer3,baseline,0,1,7.4301,5.3161,0.005,0.025
RN50__layer3,baseline,1,1,7.4322,5.3129,0.005,0.025
RN50__layer3,baseline,2,1,7.4306,5.3115,0.005,0.025
RN50__layer3,baseline,3,1,7.436,5.3131,0.005,0.025
RN50__layer3,baseline,4,1,7.4355,5.315,0.005,0.025
RN50__layer3,0_100,0,5,6.9337,4.2398,0.09,0.24
RN50__layer3,0_100,1,4,6.9121,4.2506,0.075,0.255
RN50__layer3,0_100,2,5,6.9265,4.2445,0.095,0.225
RN50__layer3,0_100,3,4,6.9136,4.2291,0.075,0.23
RN50__layer3,0_100,4,5,6.9568,4.2255,0.065,0.245
RN50__layer3,100_200,0,5,6.1826,3.2738,0.275,0.6
RN50__layer3,100_200,1,5,6.2351,3.2498,0.285,0.59
RN50__layer3,100_200,2,5,6.2074,3.237,0.27,0.605
RN50__layer3,100_200,3,5,6.2137,3.2335,0.26,0.59
RN50__layer3,100_200,4,4,6.2134,3.2741,0.27,0.56
RN50__layer3,200_300,0,5,6.3382,3.3195,0.265,0.54
RN50__layer3,200_300,1,6,6.3439,3.3532,0.2,0.49
RN50__layer3,200_300,2,5,6.3482,3.3452,0.235,0.515
RN50__layer3,200_300,3,5,6.2986,3.3448,0.235,0.5
RN50__layer3,200_300,4,4,6.3714,3.3801,0.245,0.51
RN50__layer3,300_400,0,4,6.9227,3.9421,0.16,0.39
RN50__layer3,300_400,1,4,6.9498,3.9557,0.155,0.33
RN50__layer3,300_400,2,4,6.9262,3.9607,0.12,0.365
RN50__layer3,300_400,3,4,6.9015,3.954,0.1,0.38
RN50__layer3,300_400,4,4,6.9104,3.9298,0.125,0.385
RN50__layer3,400_500,0,2,7.3241,4.8868,0.02,0.1
RN50__layer3,400_500,1,1,7.3316,5.1782,0.025,0.07
RN50__layer3,400_500,2,2,7.3255,4.8666,0.015,0.135
RN50__layer3,400_500,3,1,7.3458,5.172,0.015,0.06
RN50__layer3,400_500,4,3,7.3254,4.8185,0.04,0.14
RN50__layer3,500_600,0,1,7.4055,5.279,0.01,0.015
RN50__layer3,500_600,1,1,7.4028,5.2818,0.01,0.04
RN50__layer3,500_600,2,1,7.4043,5.2828,0.01,0.05
RN50__layer3,500_600,3,1,7.4131,5.2812,0.0,0.045
RN50__layer3,500_600,4,1,7.4096,5.2816,0.005,0.03
RN50__layer3,600_700,0,1,7.4238,5.2995,0.005,0.03
RN50__layer3,600_700,1,1,7.421,5.296,0.005,0.025
RN50__layer3,600_700,2,1,7.4135,5.2957,0.005,0.025
RN50__layer3,600_700,3,1,7.43,5.2979,0.005,0.03
RN50__layer3,600_700,4,1,7.4277,5.2998,0.01,0.035
RN50__layer3,700_800,0,1,7.4293,5.3021,0.005,0.015
RN50__layer3,700_800,1,1,7.429,5.3036,0.005,0.04
RN50__layer3,700_800,2,1,7.4301,5.3034,0.005,0.035
RN50__layer3,700_800,3,1,7.447,5.3015,0.005,0.035
RN50__layer3,700_800,4,1,7.4409,5.3031,0.005,0.02
RN50__layer3__fov,baseline,0,1,7.4295,5.313,0.005,0.025
RN50__layer3__fov,baseline,1,1,7.4352,5.3148,0.005,0.02
RN50__layer3__fov,baseline,2,1,7.4347,5.3118,0.005,0.02
RN50__layer3__fov,baseline,3,1,7.4336,5.3144,0.005,0.025
RN50__layer3__fov,baseline,4,1,7.4307,5.3118,0.005,0.015
RN50__layer3__fov,0_100,0,5,6.9204,4.1996,0.1,0.235
RN50__layer3__fov,0_100,1,4,6.904,4.2165,0.06,0.27
RN50__layer3__fov,0_100,2,5,6.9246,4.2031,0.09,0.24
RN50__layer3__fov,0_100,3,4,6.9072,4.2101,0.065,0.23
RN50__layer3__fov,0_100,4,5,6.9372,4.1798,0.08,0.255
RN50__layer3__fov,100_200,0,5,6.1633,3.2213,0.28,0.605
RN50__layer3__fov,100_200,1,5,6.2087,3.2131,0.265,0.62
RN50__layer3__fov,100_200,2,5,6.179,3.2031,0.28,0.615
RN50__layer3__fov,100_200,3,5,6.1857,3.2085,0.275,0.61
RN50__layer3__fov,100_200,4,6,6.1938,3.1525,0.31,0.615
RN50__layer3__fov,200_300,0,5,6.3268,3.2841,0.245,0.56
RN50__layer3__fov,200_300,1,6,6.3313,3.3133,0.23,0.54
RN50__layer3__fov,200_300,2,5,6.3299,3.304,0.235,0.54
RN50__layer3__fov,200_300,3,5,6.283,3.3239,0.25,0.505
RN50__layer3__fov,200_300,4,5,6.3535,3.2882,0.28,0.545
RN50__layer3__fov,300_400,0,4,6.9082,3.9356,0.14,0.38
RN50__layer3__fov,300_400,1,4,6.9419,3.9119,0.15,0.37
RN50__layer3__fov,300_400,2,3,6.9275,3.918,0.12,0.405
RN50__layer3__fov,300_400,3,4,6.8977,3.9287,0.105,0.4
RN50__layer3__fov,300_400,4,4,6.9023,3.9011,0.145,0.41
RN50__layer3__fov,400_500,0,2,7.313,4.8529,0.03,0.105
RN50__layer3__fov,400_500,1,1,7.3347,5.1726,0.02,0.075
RN50__layer3__fov,400_500,2,2,7.3339,4.8436,0.04,0.13
RN50__layer3__fov,400_500,3,1,7.338,5.1669,0.01,0.075
RN50__layer3__fov,400_500,4,3,7.3104,4.7823,0.05,0.14
RN50__layer3__fov,500_600,0,1,7.4003,5.2795,0.005,0.03
RN50__layer3__fov,500_600,1,1,7.4144,5.2831,0.005,0.025
RN50__layer3__fov,500_600,2,1,7.4031,5.2794,0.01,0.035
RN50__layer3__fov,500_600,3,1,7.4123,5.2811,0.005,0.025
RN50__layer3__fov,500_600,4,1,7.4068,5.2755,0.01,0.025
RN50__layer3__fov,600_700,0,1,7.4155,5.2965,0.005,0.03
RN50__layer3__fov,600_700,1,1,7.4288,5.2939,0.005,0.035
RN50__layer3__fov,600_700,2,1,7.4148,5.2916,0.01,0.025
RN50__layer3__fov,600_700,3,1,7.4263,5.2953,0.01,0.03
RN50__layer3__fov,600_700,4,1,7.4309,5.2958,0.0,0.025
RN50__layer3__fov,700_800,0,1,7.4268,5.2987,0.01,0.02
RN50__layer3__fov,700_800,1,1,7.4319,5.3019,0.01,0.03
RN50__layer3__fov,700_800,2,1,7.4336,5.2999,0.0,0.035
RN50__layer3__fov,700_800,3,1,7.4443,5.2993,0.01,0.03
RN50__layer3__fov,700_800,4,1,7.4407,5.2965,0.005,0.035
