best_epoch,best_val_loss,test_loss_at_best,test_top1_at_best,test_top5_at_best,train_loss_at_best,gap_at_best,epochs_run,final_train_loss,final_val_loss,final_gap,input_dimension,n_parameters,sampling_rate,target,window,seed,samples_in_window,learning_rate,weight_decay
30,6.430793762207031,3.423640489578247,0.1899999976158142,0.4699999988079071,5.343114852905273,1.0876789093017578,30,5.343114852905273,6.430793762207031,1.0876789093017578,1575,1070592,250,ViT-L-14__block4,100_200,1,25,0.0001,0.01
12,6.46137809753418,3.4549288749694824,0.1850000023841858,0.4749999940395355,4.798291206359863,1.6630868911743164,20,4.495783805847168,6.476898193359375,1.981114387512207,6300,3489792,1000,ViT-L-14__block4,100_200,1,100,0.0001,0.01
16,7.176062107086182,4.458718299865723,0.044999998062849045,0.20499999821186066,6.330327987670898,0.8457341194152832,24,6.220507621765137,7.181842803955078,0.9613351821899414,1575,1070592,250,ViT-L-14__block4,300_400,0,25,0.0001,0.01
5,7.180543899536133,4.579312801361084,0.06499999761581421,0.20999999344348907,6.316985607147217,0.863558292388916,13,5.670551300048828,7.233574867248535,1.563023567199707,6300,3489792,1000,ViT-L-14__block4,300_400,0,100,0.0001,0.01
14,7.168097496032715,4.502132415771484,0.054999999701976776,0.20999999344348907,6.373679161071777,0.7944183349609375,22,6.2193450927734375,7.172477722167969,0.9531326293945312,1575,1070592,250,ViT-L-14__block4,300_400,1,25,0.0001,0.01
4,7.18472957611084,4.660211563110352,0.029999999329447746,0.1550000011920929,6.432153701782227,0.7525758743286133,12,5.683253288269043,7.2572174072265625,1.5739641189575195,6300,3489792,1000,ViT-L-14__block4,300_400,1,100,0.0001,0.01
3,7.446382522583008,5.262359142303467,0.009999999776482582,0.04999999701976776,7.232945442199707,0.21343708038330078,11,6.853440284729004,7.492883205413818,0.6394429206848145,1575,1070592,250,ViT-L-14__block4,500_600,0,25,0.0001,0.01
1,7.451698303222656,5.264283180236816,0.014999999664723873,0.07000000029802322,7.229379653930664,0.2223186492919922,9,6.378247261047363,7.5713210105896,1.1930737495422363,6300,3489792,1000,ViT-L-14__block4,500_600,0,100,0.0001,0.01
3,7.444147109985352,5.261112213134766,0.009999999776482582,0.02499999850988388,7.234959125518799,0.20918798446655273,11,6.844133377075195,7.488203048706055,0.6440696716308594,1575,1070592,250,ViT-L-14__block4,500_600,1,25,0.0001,0.01
1,7.440740585327148,5.279784202575684,0.014999999664723873,0.03500000014901161,7.228623390197754,0.21211719512939453,9,6.357104301452637,7.5691633224487305,1.2120590209960938,6300,3489792,1000,ViT-L-14__block4,500_600,1,100,0.0001,0.01
26,6.899433135986328,4.3223876953125,0.07000000029802322,0.2449999898672104,5.168733596801758,1.7306995391845703,30,5.16265869140625,6.899541854858398,1.7368831634521484,1575,1070592,250,ViT-L-14__block24,100_200,0,25,0.0001,0.01
6,6.8899245262146,4.459349632263184,0.04999999701976776,0.20499999821186066,4.908840179443359,1.9810843467712402,14,3.9370617866516113,6.951026916503906,3.013965129852295,6300,3489792,1000,ViT-L-14__block24,100_200,0,100,0.0001,0.01
26,6.915844917297363,4.326409339904785,0.05999999865889549,0.23999999463558197,5.180834770202637,1.7350101470947266,30,5.174943447113037,6.915862083435059,1.7409186363220215,1575,1070592,250,ViT-L-14__block24,100_200,1,25,0.0001,0.01
