target,window,test_loss,test_loss_std,top1,top5,n_seeds
ViT-B-16__block4,200_300,3.4081,0.026,0.192,0.464,5
ViT-B-16__block4,300_400,4.1823,0.0348,0.086,0.28,5
ViT-B-16__block4,400_500,5.161,0.0904,0.013,0.079,5
ViT-B-16__block4,500_600,5.2797,0.0011,0.008,0.042,5
ViT-B-16__block4,600_700,5.2906,0.0011,0.004,0.03,5
ViT-B-16__block4,700_800,5.2922,0.0021,0.005,0.024,5
ViT-B-16__block4__fov,baseline,5.3012,0.0011,0.001,0.022,5
ViT-B-16__block4__fov,0_100,3.8953,0.0074,0.078,0.311,5
ViT-B-16__block4__fov,100_200,3.0909,0.0309,0.268,0.549,5
ViT-B-16__block4__fov,200_300,3.3404,0.0225,0.201,0.486,5
ViT-B-16__block4__fov,300_400,4.1619,0.0362,0.089,0.283,5
ViT-B-16__block4__fov,400_500,5.1558,0.0966,0.022,0.081,5
ViT-B-16__block4__fov,500_600,5.2801,0.0008,0.005,0.038,5
ViT-B-16__block4__fov,600_700,5.2911,0.0002,0.005,0.028,5
ViT-B-16__block4__fov,700_800,5.2925,0.0014,0.007,0.03,5
ViT-B-16__block6,baseline,5.3052,0.0014,0.005,0.023,5
ViT-B-16__block6,0_100,4.1316,0.0083,0.058,0.215,5
ViT-B-16__block6,100_200,3.3619,0.0056,0.215,0.505,5
ViT-B-16__block6,200_300,3.5231,0.0308,0.179,0.467,5
ViT-B-16__block6,300_400,4.14,0.017,0.059,0.309,5
ViT-B-16__block6,400_500,5.1084,0.1286,0.015,0.069,5
ViT-B-16__block6,500_600,5.2822,0.0022,0.009,0.031,5
ViT-B-16__block6,600_700,5.2934,0.0016,0.007,0.029,5
ViT-B-16__block6,700_800,5.2939,0.0025,0.005,0.032,5
ViT-B-16__block6__fov,baseline,5.3047,0.0006,0.007,0.025,5
ViT-B-16__block6__fov,0_100,4.0971,0.0186,0.057,0.23,5
ViT-B-16__block6__fov,100_200,3.3186,0.0236,0.221,0.527,5
ViT-B-16__block6__fov,200_300,3.4771,0.019,0.191,0.475,5
ViT-B-16__block6__fov,300_400,4.1309,0.0155,0.069,0.304,5
ViT-B-16__block6__fov,400_500,5.2181,0.0026,0.013,0.051,5
ViT-B-16__block6__fov,500_600,5.2851,0.0018,0.008,0.031,5
ViT-B-16__block6__fov,600_700,5.2956,0.0021,0.009,0.034,5
ViT-B-16__block6__fov,700_800,5.2984,0.0031,0.007,0.026,5
ViT-B-16__block8,baseline,5.3096,0.0017,0.004,0.022,5
ViT-B-16__block8,0_100,4.4004,0.0191,0.045,0.175,5
ViT-B-16__block8,100_200,3.709,0.0185,0.165,0.392,5
ViT-B-16__block8,200_300,3.7723,0.0122,0.131,0.399,5
ViT-B-16__block8,300_400,4.2151,0.0158,0.073,0.271,5
ViT-B-16__block8,400_500,5.1648,0.1095,0.009,0.058,5
ViT-B-16__block8,500_600,5.2857,0.0044,0.007,0.033,5
ViT-B-16__block8,600_700,5.2995,0.0015,0.003,0.021,5
ViT-B-16__block8,700_800,5.3019,0.0035,0.007,0.026,5
ViT-B-16__block8__fov,baseline,5.3075,0.0007,0.003,0.023,5
ViT-B-16__block8__fov,0_100,4.3577,0.0139,0.063,0.176,5
ViT-B-16__block8__fov,100_200,3.6288,0.03,0.144,0.408,5
ViT-B-16__block8__fov,200_300,3.6834,0.0148,0.128,0.423,5
ViT-B-16__block8__fov,300_400,4.1856,0.0068,0.086,0.28,5
ViT-B-16__block8__fov,400_500,5.098,0.1382,0.019,0.072,5
ViT-B-16__block8__fov,500_600,5.283,0.0022,0.006,0.028,5
ViT-B-16__block8__fov,600_700,5.2988,0.0013,0.008,0.024,5
ViT-B-16__block8__fov,700_800,5.3016,0.0025,0.004,0.022,5
ViT-L-14__block12,baseline,5.3123,0.0013,0.005,0.023,5
ViT-L-14__block12,0_100,4.3569,0.012,0.052,0.198,5
ViT-L-14__block12,100_200,3.7391,0.0134,0.156,0.38,5
ViT-L-14__block12,200_300,3.8268,0.0063,0.12,0.393,5
ViT-L-14__block12,300_400,4.3299,0.0229,0.068,0.249,5
ViT-L-14__block12,400_500,5.2419,0.0026,0.008,0.043,5
ViT-L-14__block12,500_600,5.2948,0.0029,0.008,0.03,5
ViT-L-14__block12,600_700,5.3038,0.0023,0.005,0.026,5
ViT-L-14__block12,700_800,5.3047,0.0027,0.006,0.029,5
ViT-L-14__block12__fov,baseline,5.3105,0.0012,0.007,0.022,5
ViT-L-14__block12__fov,0_100,4.3007,0.0192,0.049,0.208,5
ViT-L-14__block12__fov,100_200,3.6352,0.0152,0.178,0.434,5
ViT-L-14__block12__fov,200_300,3.7214,0.0193,0.162,0.414,5
ViT-L-14__block12__fov,300_400,4.2516,0.0274,0.075,0.278,5
ViT-L-14__block12__fov,400_500,5.2326,0.003,0.009,0.037,5
ViT-L-14__block12__fov,500_600,5.291,0.0033,0.003,0.022,5
ViT-L-14__block12__fov,600_700,5.3012,0.0019,0.006,0.027,5
