target,window,test_loss,test_loss_std,top1,top5,n_seeds
ViT-B-16__block10__fov,700_800,5.3107,0.003,0.007,0.032,5
ViT-B-16__block10__fov,800_900,5.3121,0.0024,0.005,0.028,5
ViT-B-16__block10__fov,900_1000,5.3134,0.0032,0.003,0.022,5
ViT-B-16__block12,0_100,4.8312,0.0209,0.029,0.121,5
ViT-B-16__block12,100_200,4.1524,0.0485,0.079,0.282,5
ViT-B-16__block12,200_300,4.0558,0.013,0.085,0.288,5
ViT-B-16__block12,300_400,4.4219,0.0181,0.049,0.213,5
ViT-B-16__block12,400_500,5.2595,0.0053,0.012,0.046,5
ViT-B-16__block12,500_600,5.2925,0.0032,0.006,0.038,5
ViT-B-16__block12,600_700,5.3069,0.0039,0.005,0.031,5
ViT-B-16__block12,700_800,5.3185,0.003,0.007,0.023,5
ViT-B-16__block12,800_900,5.3211,0.0019,0.003,0.022,5
ViT-B-16__block12,900_1000,5.3274,0.0081,0.006,0.026,5
ViT-B-16__block12__fov,0_100,4.8111,0.0224,0.031,0.122,5
ViT-B-16__block12__fov,100_200,4.0801,0.0364,0.102,0.301,5
ViT-B-16__block12__fov,200_300,3.9882,0.0394,0.102,0.31,5
ViT-B-16__block12__fov,300_400,4.4188,0.0179,0.064,0.215,5
ViT-B-16__block12__fov,400_500,5.2639,0.0071,0.006,0.033,5
ViT-B-16__block12__fov,500_600,5.2969,0.0058,0.008,0.031,5
ViT-B-16__block12__fov,600_700,5.3125,0.0042,0.005,0.029,5
ViT-B-16__block12__fov,700_800,5.3202,0.0058,0.007,0.027,5
ViT-B-16__block12__fov,800_900,5.3235,0.003,0.005,0.025,5
ViT-B-16__block12__fov,900_1000,5.3279,0.0059,0.005,0.031,5
ViT-B-16__block2,0_100,3.8437,0.0558,0.087,0.305,5
ViT-B-16__block2,100_200,3.3811,0.047,0.193,0.481,5
ViT-B-16__block2,200_300,3.676,0.0568,0.208,0.431,5
ViT-B-16__block2,300_400,4.6277,0.033,0.051,0.192,5
ViT-B-16__block2,400_500,5.2427,0.0038,0.012,0.047,5
ViT-B-16__block2,500_600,5.282,0.0027,0.01,0.042,5
ViT-B-16__block2,600_700,5.2947,0.0007,0.008,0.027,5
ViT-B-16__block2,700_800,5.2977,0.0015,0.009,0.028,5
ViT-B-16__block2,800_900,5.301,0.0011,0.006,0.025,5
ViT-B-16__block2,900_1000,5.3015,0.0024,0.009,0.026,5
ViT-B-16__block2__fov,0_100,3.7525,0.0421,0.121,0.335,5
ViT-B-16__block2__fov,100_200,3.3074,0.0448,0.199,0.491,5
ViT-B-16__block2__fov,200_300,3.6166,0.033,0.23,0.442,5
