target,window,seed,epoch,weight_decay_condition,current_lr,train_loss,val_loss,gap,train_top1,train_top5,val_top1,val_top5,is_best_epoch
RN50__stem,100_200,0,21,0.01,2.0610737385376352e-05,6.355370044708252,6.837736129760742,0.48236608505249023,0.016324063763022423,0.06650544703006744,0.005441354587674141,0.02660217694938183,True
RN50__stem,100_200,0,22,0.01,1.654346968205711e-05,6.3467488288879395,6.834054470062256,0.4873056411743164,0.01692865788936615,0.06711003929376602,0.006045949645340443,0.02660217694938183,True
RN50__stem,100_200,0,23,0.01,1.2842758726130304e-05,6.339693546295166,6.833096504211426,0.49340295791625977,0.01692865788936615,0.06650544703006744,0.006650544237345457,0.02660217694938183,True
RN50__stem,100_200,0,24,0.01,9.549150281252636e-06,6.334568977355957,6.832036972045898,0.4974679946899414,0.017533253878355026,0.0677146315574646,0.006045949645340443,0.0259975828230381,True
RN50__stem,100_200,0,25,0.01,6.698729810778068e-06,6.330510139465332,6.830432891845703,0.4999227523803711,0.018137848004698753,0.06711003929376602,0.006045949645340443,0.025392986834049225,True
RN50__stem,100_200,0,26,0.01,4.322727117869953e-06,6.32810640335083,6.82988166809082,0.5017752647399902,0.018137848004698753,0.06831923127174377,0.006045949645340443,0.025392986834049225,True
RN50__stem,100_200,0,27,0.01,2.447174185242324e-06,6.326313018798828,6.829657077789307,0.5033440589904785,0.018137848004698753,0.06650544703006744,0.006045949645340443,0.0259975828230381,True
RN50__stem,100_200,0,28,0.01,1.092619963309716e-06,6.325320243835449,6.829292297363281,0.503972053527832,0.017533253878355026,0.0677146315574646,0.006045949645340443,0.0259975828230381,True
RN50__stem,100_200,0,29,0.01,2.7390523158633003e-07,6.324865341186523,6.8291473388671875,0.5042819976806641,0.017533253878355026,0.0677146315574646,0.006045949645340443,0.0259975828230381,True
RN50__stem,100_200,0,30,0.01,0.0,6.324760437011719,6.829113960266113,0.5043535232543945,0.017533253878355026,0.0677146315574646,0.006045949645340443,0.0259975828230381,True
RN50__stem,100_200,0,1,0.0001,9.972609476841367e-05,7.374267578125,7.413994312286377,0.03972673416137695,0.0006045949412509799,0.0030229748226702213,0.0024183797650039196,0.006650544237345457,True
RN50__stem,100_200,0,2,0.0001,9.890738003669029e-05,7.165283679962158,7.251263618469238,0.08597993850708008,0.0012091898825019598,0.007255139295011759,0.0024183797650039196,0.009068924002349377,True
RN50__stem,100_200,0,3,0.0001,9.755282581475769e-05,7.056288242340088,7.171708106994629,0.11541986465454102,0.0024183797650039196,0.01511487364768982,0.0024183797650039196,0.01027811411768198,True
