learning_rate,weight_decay,seed,best_epoch,epochs_run,best_val_loss,test_loss_at_best,test_top1_at_best,test_top5_at_best,train_loss_at_best,gap_at_best,final_train_loss,final_val_loss,final_gap,n_parameters,target,window
0.0001,0.01,0,3,11,7.487196445465088,5.281562805175781,0.009999999776482582,0.044999998062849045,7.102998733520508,0.3841977119445801,6.478663444519043,7.53297758102417,1.054314136505127,1070592,RN50__attnpool,500_600
0.0001,0.0001,0,3,11,7.4871978759765625,5.2815656661987305,0.009999999776482582,0.044999998062849045,7.103028774261475,0.3841691017150879,6.47885799407959,7.532962799072266,1.0541048049926758,1070592,RN50__attnpool,500_600
0.0001,0.01,1,3,11,7.495038986206055,5.348676681518555,0.009999999776482582,0.019999999552965164,7.077542304992676,0.4174966812133789,6.455877304077148,7.532397747039795,1.0765204429626465,1070592,RN50__attnpool,500_600
0.0001,0.0001,1,3,11,7.495037078857422,5.348678112030029,0.009999999776482582,0.019999999552965164,7.077570915222168,0.4174661636352539,6.456061363220215,7.532388687133789,1.0763273239135742,1070592,RN50__attnpool,500_600
0.0001,0.01,0,30,30,6.4492950439453125,3.4093222618103027,0.17499999701976776,0.5249999761581421,5.389623641967773,1.059671401977539,5.389623641967773,6.4492950439453125,1.059671401977539,1070592,ViT-B-16__block2,100_200
0.0001,0.0001,0,30,30,6.449319839477539,3.409428358078003,0.17499999701976776,0.5249999761581421,5.389804840087891,1.0595149993896484,5.389804840087891,6.449319839477539,1.0595149993896484,1070592,ViT-B-16__block2,100_200
0.0001,0.01,1,30,30,6.498845100402832,3.3953263759613037,0.19499999284744263,0.5,5.382126808166504,1.1167182922363281,5.382126808166504,6.498845100402832,1.1167182922363281,1070592,ViT-B-16__block2,100_200
0.0001,0.0001,1,30,30,6.498871803283691,3.3954381942749023,0.19499999284744263,0.5,5.382319927215576,1.1165518760681152,5.382319927215576,6.498871803283691,1.1165518760681152,1070592,ViT-B-16__block2,100_200
0.0001,0.01,0,12,20,7.203320503234863,4.566408157348633,0.06499999761581421,0.2149999886751175,6.47157096862793,0.7317495346069336,6.275019645690918,7.21774959564209,0.9427299499511719,1070592,ViT-B-16__block2,300_400
0.0001,0.0001,0,12,20,7.203318119049072,4.566443920135498,0.06499999761581421,0.2149999886751175,6.47165584564209,0.7316622734069824,6.27513313293457,7.217737197875977,0.9426040649414062,1070592,ViT-B-16__block2,300_400
0.0001,0.01,1,14,22,7.215132713317871,4.538492202758789,0.06499999761581421,0.22999998927116394,6.401338577270508,0.8137941360473633,6.24755334854126,7.225029945373535,0.9774765968322754,1070592,ViT-B-16__block2,300_400
0.0001,0.0001,1,14,22,7.215133190155029,4.538521766662598,0.06499999761581421,0.22999998927116394,6.401422023773193,0.8137111663818359,6.247653961181641,7.225020885467529,0.9773669242858887,1070592,ViT-B-16__block2,300_400
0.0001,0.01,0,3,11,7.444037914276123,5.247693061828613,0.014999999664723873,0.04999999701976776,7.24878454208374,0.1952533721923828,6.872086524963379,7.491794586181641,0.6197080612182617,1070592,ViT-B-16__block2,500_600
0.0001,0.0001,0,3,11,7.444036483764648,5.24769401550293,0.014999999664723873,0.04999999701976776,7.248794078826904,0.19524240493774414,6.87213134765625,7.491781711578369,0.6196503639221191,1070592,ViT-B-16__block2,500_600
0.0001,0.01,1,2,10,7.4403886795043945,5.259407043457031,0.009999999776482582,0.04999999701976776,7.293891906738281,0.14649677276611328,6.891988277435303,7.484217643737793,0.5922293663024902,1070592,ViT-B-16__block2,500_600
0.0001,0.0001,1,2,10,7.440387725830078,5.259407997131348,0.009999999776482582,0.04999999701976776,7.293895244598389,0.14649248123168945,6.892024993896484,7.484208106994629,0.5921831130981445,1070592,ViT-B-16__block2,500_600
0.0001,0.01,0,30,30,6.822146415710449,4.198060035705566,0.10999999940395355,0.2549999952316284,5.13654899597168,1.6855974197387695,5.13654899597168,6.822146415710449,1.6855974197387695,1070592,ViT-B-16__block12,100_200
0.0001,0.0001,0,30,30,6.82215690612793,4.198091506958008,0.10999999940395355,0.2549999952316284,5.137082099914551,1.685074806213379,5.137082099914551,6.82215690612793,1.685074806213379,1070592,ViT-B-16__block12,100_200
0.0001,0.01,1,26,30,6.828980445861816,4.221877098083496,0.07999999821186066,0.2849999964237213,5.13249397277832,1.696486473083496,5.126768589019775,6.829042434692383,1.7022738456726074,1070592,ViT-B-16__block12,100_200
0.0001,0.0001,1,26,30,6.8289794921875,4.2219343185424805,0.07999999821186066,0.2849999964237213,5.133016586303711,1.695962905883789,5.127293586730957,6.829040050506592,1.7017464637756348,1070592,ViT-B-16__block12,100_200
0.0001,0.01,0,30,30,7.116154193878174,4.384967803955078,0.054999999701976776,0.2449999898672104,5.480023384094238,1.6361308097839355,5.480023384094238,7.116154193878174,1.6361308097839355,1070592,ViT-B-16__block12,300_400
0.0001,0.0001,0,30,30,7.116177082061768,4.38499641418457,0.054999999701976776,0.2449999898672104,5.480512619018555,1.635664463043213,5.480512619018555,7.116177082061768,1.635664463043213,1070592,ViT-B-16__block12,300_400
0.0001,0.01,1,27,30,7.113261699676514,4.419802188873291,0.054999999701976776,0.25999999046325684,5.490665435791016,1.622596263885498,5.488075256347656,7.113278388977051,1.6252031326293945,1070592,ViT-B-16__block12,300_400
0.0001,0.0001,1,27,30,7.113262176513672,4.419842720031738,0.054999999701976776,0.25999999046325684,5.491175651550293,1.622086524963379,5.488587379455566,7.113277912139893,1.6246905326843262,1070592,ViT-B-16__block12,300_400
0.0001,0.01,0,3,11,7.527707099914551,5.2981390953063965,0.004999999888241291,0.044999998062849045,7.049489974975586,0.47821712493896484,6.341506004333496,7.562565803527832,1.221059799194336,1070592,ViT-B-16__block12,500_600
0.0001,0.0001,0,3,11,7.527708053588867,5.298141956329346,0.004999999888241291,0.044999998062849045,7.049529075622559,0.4781789779663086,6.341733455657959,7.562551498413086,1.220818042755127,1070592,ViT-B-16__block12,500_600
0.0001,0.01,1,3,11,7.523749351501465,5.348555564880371,0.014999999664723873,0.03999999910593033,7.032748699188232,0.4910006523132324,6.320004463195801,7.542070388793945,1.2220659255981445,1070592,ViT-B-16__block12,500_600
0.0001,0.0001,1,3,11,7.5237507820129395,5.348556995391846,0.014999999664723873,0.03999999910593033,7.03278923034668,0.49096155166625977,6.32024621963501,7.542054176330566,1.2218079566955566,1070592,ViT-B-16__block12,500_600
0.0001,0.01,0,30,30,6.397214889526367,3.4198131561279297,0.1850000023841858,0.4899999797344208,5.346662521362305,1.0505523681640625,5.346662521362305,6.397214889526367,1.0505523681640625,1070592,ViT-L-14__block4,100_200
0.0001,0.0001,0,30,30,6.397261619567871,3.419928550720215,0.1850000023841858,0.4899999797344208,5.346868515014648,1.0503931045532227,5.346868515014648,6.397261619567871,1.0503931045532227,1070592,ViT-L-14__block4,100_200
0.0001,0.01,1,30,30,6.431070327758789,3.422666072845459,0.17999999225139618,0.4699999988079071,5.34294319152832,1.0881271362304688,5.34294319152832,6.431070327758789,1.0881271362304688,1070592,ViT-L-14__block4,100_200
0.0001,0.0001,1,30,30,6.43111515045166,3.422776222229004,0.17999999225139618,0.4699999988079071,5.343161582946777,1.0879535675048828,5.343161582946777,6.43111515045166,1.0879535675048828,1070592,ViT-L-14__block4,100_200
0.0001,0.01,0,16,24,7.1772871017456055,4.462608337402344,0.03999999910593033,0.20999999344348907,6.331119537353516,0.8461675643920898,6.221234321594238,7.183387756347656,0.962153434753418,1070592,ViT-L-14__block4,300_400
0.0001,0.0001,0,16,24,7.1772942543029785,4.462654113769531,0.03999999910593033,0.20999999344348907,6.331240653991699,0.8460536003112793,6.221377372741699,7.183382987976074,0.962005615234375,1070592,ViT-L-14__block4,300_400
0.0001,0.01,1,14,22,7.167275905609131,4.502656936645508,0.04999999701976776,0.2149999886751175,6.373404502868652,0.7938714027404785,6.2191362380981445,7.171631813049316,0.9524955749511719,1070592,ViT-L-14__block4,300_400
0.0001,0.0001,1,14,22,7.167269706726074,4.502688407897949,0.04999999701976776,0.2149999886751175,6.3735151290893555,0.7937545776367188,6.21927547454834,7.1716156005859375,0.9523401260375977,1070592,ViT-L-14__block4,300_400
0.0001,0.01,0,3,11,7.444952011108398,5.261898994445801,0.009999999776482582,0.044999998062849045,7.233297348022461,0.2116546630859375,6.855152606964111,7.491992950439453,0.6368403434753418,1070592,ViT-L-14__block4,500_600
0.0001,0.0001,0,3,11,7.444952011108398,5.261902809143066,0.009999999776482582,0.044999998062849045,7.233307838439941,0.21164417266845703,6.855200290679932,7.491979598999023,0.6367793083190918,1070592,ViT-L-14__block4,500_600
0.0001,0.01,1,3,11,7.444699764251709,5.264223098754883,0.009999999776482582,0.03999999910593033,7.234269142150879,0.21043062210083008,6.843823432922363,7.48809814453125,0.6442747116088867,1070592,ViT-L-14__block4,500_600
0.0001,0.0001,1,3,11,7.444699287414551,5.264223098754883,0.009999999776482582,0.03999999910593033,7.234279632568359,0.2104196548461914,6.843873023986816,7.488080978393555,0.6442079544067383,1070592,ViT-L-14__block4,500_600
0.0001,0.01,0,26,30,6.895943641662598,4.321288108825684,0.07999999821186066,0.26499998569488525,5.1695098876953125,1.7264337539672852,5.163518905639648,6.895991325378418,1.7324724197387695,1070592,ViT-L-14__block24,100_200
0.0001,0.0001,0,26,30,6.895944595336914,4.321317672729492,0.07999999821186066,0.26499998569488525,5.170063018798828,1.725881576538086,5.164073944091797,6.895991325378418,1.731917381286621,1070592,ViT-L-14__block24,100_200
0.0001,0.01,1,26,30,6.920995712280273,4.329695701599121,0.05999999865889549,0.23499999940395355,5.178059101104736,1.742936611175537,5.172140121459961,6.921021461486816,1.7488813400268555,1070592,ViT-L-14__block24,100_200
0.0001,0.0001,1,26,30,6.921008586883545,4.329746246337891,0.05999999865889549,0.23499999940395355,5.178615570068359,1.7423930168151855,5.172698974609375,6.92103385925293,1.7483348846435547,1070592,ViT-L-14__block24,100_200
0.0001,0.01,0,30,30,7.161032676696777,4.5037360191345215,0.07000000029802322,0.2149999886751175,5.453849792480469,1.7071828842163086,5.453849792480469,7.161032676696777,1.7071828842163086,1070592,ViT-L-14__block24,300_400
0.0001,0.0001,0,30,30,7.161040306091309,4.503754615783691,0.07000000029802322,0.2149999886751175,5.454378128051758,1.7066621780395508,5.454378128051758,7.161040306091309,1.7066621780395508,1070592,ViT-L-14__block24,300_400
0.0001,0.01,1,30,30,7.152193069458008,4.49662446975708,0.044999998062849045,0.19999998807907104,5.494014263153076,1.6581788063049316,5.494014263153076,7.152193069458008,1.6581788063049316,1070592,ViT-L-14__block24,300_400
0.0001,0.0001,1,30,30,7.1522088050842285,4.496652603149414,0.044999998062849045,0.19999998807907104,5.494542121887207,1.6576666831970215,5.494542121887207,7.1522088050842285,1.6576666831970215,1070592,ViT-L-14__block24,300_400
0.0001,0.01,0,5,13,7.538115501403809,5.292640209197998,0.019999999552965164,0.04999999701976776,6.770197868347168,0.7679176330566406,6.181824684143066,7.5486907958984375,1.366866111755371,1070592,ViT-L-14__block24,500_600
0.0001,0.0001,0,5,13,7.538117408752441,5.29265022277832,0.019999999552965164,0.04999999701976776,6.770291328430176,0.7678260803222656,6.182137489318848,7.548681735992432,1.366544246673584,1070592,ViT-L-14__block24,500_600
0.0001,0.01,1,7,15,7.52896785736084,5.287920951843262,0.0,0.04999999701976776,6.583116054534912,0.9458518028259277,6.110508918762207,7.540834903717041,1.430325984954834,1070592,ViT-L-14__block24,500_600
0.0001,0.0001,1,7,15,7.528970718383789,5.287932395935059,0.0,0.04999999701976776,6.583256721496582,0.945713996887207,6.1108808517456055,7.540826797485352,1.429945945739746,1070592,ViT-L-14__block24,500_600
